CENTLAT,CENTLON,NAME
46.2095583,-94.4228489,Cp Ripley
46.2997034,-94.4871461,Cp Ripley
46.2539525,-94.5007714,Cp Ripley
35.3393616,-120.7031986,Cp San Luis Obispo
47.7276162,-117.5239396,Cp Seven Mile
41.3118507,-73.9509459,Cp Smith
30.2616256,-97.2946505,Cp Swift
30.3233836,-89.8085579,Cp Villere
47.6087767,-122.7357397,Cp Wesley Harris
45.4126174,-122.5584169,Cp Withycombe
36.8886896,-76.3602664,Craney Island Fuel Dep
36.5869099,-115.6768279,Creech AFB
34.2245021,-84.1131256,Cumming Army Guard
13.3106944,144.7367908,Dandan
35.7144858,-75.8785878,Dare County Range
32.1606892,-110.8483292,Davis-Monthan AFB
40.2081212,-76.8391429,Defense Distribution Depot Susquehanna
37.8406105,-121.2689243,Defense Distribution Region West Sharpe Site
33.7731666,-118.3009687,Defense Fuel Support Point San Pedro
47.9486368,-97.086055,Defense Fuel Support Pt
39.9797445,-82.8987848,Defense Supply Center Columbus
40.0412873,-75.0946874,Defense Supply Center Philadelphia
37.4187007,-77.447473,Defense Supply Center Richmond
41.544376,-93.6660942,Des Moins Iap
40.2970559,-112.3430711,Deseret Chemical Dep
42.4971723,-83.0413014,Detroit Arsenal
28.0973936,-98.7284009,Dixie Target Range
33.9150532,-84.5156033,Dobbins Air Reserve Base
63.9176456,-146.3127714,Donnelly Training Area
39.1251185,-75.4679215,Dover AFB
40.1548643,-113.2845936,Dugway Proving Ground
46.8453369,-92.1726588,Duluth Iap
32.4228978,-99.8390611,Dyess AFB
52.7210599,174.1071489,Eareckson Air Force Sta
34.8905213,-117.8490751,Edwards AFB
30.5751023,-86.5308437,Eglin AFB
64.6740656,-147.0604722,Eielson AFB
38.9545396,-79.9791109,Elkins Army Guard
29.6165274,-95.1705597,Ellington Fld
44.1512325,-103.0926058,Ellsworth AFB
61.264487,-149.8029189,Elmendorf AFB
21.3392562,-157.9950947,Ewa
39.4059766,-77.984659,Ewvra Shepherd Fld
41.1648061,-104.86318,F E Warren AFB
47.6186471,-117.6484382,Fairchild AFB
30.4000051,-81.6276447,Flc Fuel Depot Heckscher
38.960781,-95.6809959,Forbes Field Ang
40.8370385,-72.6432989,Francis S Gabreski Arprt
36.7664584,-119.7103909,Fresno Yosemite International Air Force National Guard
38.1179608,-77.2758032,Ft A P Hill
41.4753717,-71.3399585,Ft Adams
18.0126063,-66.5052581,Ft Allen
38.7084349,-77.1563566,Ft Belvoir
39.8619159,-85.9946395,Ft Benjamin Harrison
32.3916004,-84.81161,Ft Benning
32.2543102,-106.0817304,Ft Bliss
35.1357196,-79.1457042,Ft Bragg
36.6220067,-87.6234221,Ft Campbell
38.5590489,-104.8266185,Ft Carson
35.3539522,-94.2713255,Ft Chaffee Maneuver Training Center
42.2992985,-85.3176766,Ft Custer Training Center
39.4391511,-77.3942023,Ft Detrick
39.4395378,-77.4336646,Ft Detrick
39.4439397,-77.3923951,Ft Detrick
40.0037765,-74.5241136,Ft Dix
44.1244559,-75.593086,Ft Drum
37.1322542,-76.5889005,Ft Eustis
33.9811171,-77.9162072,Ft Fisher Recreation Site
39.0824222,-76.7645336,Ft George G Meade
39.1057831,-76.7437867,Ft George G Meade
33.356611,-82.2374063,Ft Gordon
63.9710186,-145.713666,Ft Greely
63.9790953,-145.722241,Ft Greely
63.9596593,-145.7478779,Ft Greely
63.9840414,-145.7142773,Ft Greely
63.9871136,-145.7218756,Ft Greely
40.6086079,-74.0287085,Ft Hamilton
31.2162921,-97.7423322,Ft Hood
31.5674747,-110.3295572,Ft Huachuca
35.9556398,-121.2538782,Ft Hunter Liggett
40.4359333,-76.6297751,Ft Indiantown Gap Training Site
35.3744107,-116.6325604,Ft Irwin
34.0400146,-80.8267126,Ft Jackson
37.9069057,-85.883024,Ft Knox
39.3642744,-94.9178113,Ft Leavenworth
37.2496701,-77.3346534,Ft Lee
37.7321318,-92.0304264,Ft Leonard Wood
37.7114713,-92.1498744,Ft Leonard Wood
38.8672403,-77.0164336,Ft Lesley J McNair
33.7183538,-118.2861103,Ft McArthur Family Housing Annex
33.7213395,-118.3108839,Ft McArthur Family Housing Annex
33.7316006,-85.7899304,Ft McClellan Air National Guard Training Center
33.7178642,-85.9501336,Ft McClellan Air National Guard Training Center
40.2869145,-74.0597045,Ft Monmouth
38.8797163,-77.0796631,Ft Myer
37.0367323,-77.909444,Ft Pickett
31.1570339,-93.1203362,Ft Polk
61.2644965,-149.6401434,Ft Richardson
39.1847352,-96.8179412,Ft Riley
31.3983071,-85.7486496,Ft Rucker
29.4594551,-98.4407584,Ft Sam Houston
21.3458537,-157.883506,Ft Shafter
34.6827185,-98.4828777,Ft Sill
31.993709,-81.6164637,Ft Stewart
36.9227805,-76.0174357,Ft Story
32.8648478,-98.0295153,Ft Wolters
21.2817246,-157.8340161,Ft de Russy
33.9098563,-84.5230017,General Lucius D Clay National Guard Ctr
42.9410454,-87.8879314,General Mitchell International Airport Airguard Sta
32.8901712,-112.7282322,Gila Bend Air Force Auxiliary Fld
42.0916942,-87.8367838,Glenview
31.4318419,-100.4045132,Goodfellow AFB
41.536989,-71.3449038,Gould Island
47.9556796,-97.3912796,Grand Forks AFB
40.2145805,-75.4284121,Graterford Fms
47.4765464,-111.3648756,Great Falls Iap
42.300341,-87.8538353,Great Lakes Camp John Paul Jones
38.9813964,-110.1263549,Green River Test Complx
38.9816214,-110.1441042,Green River Test Complx
38.9851156,-110.1404434,Green River Test Complx
38.9593029,-110.1228365,Green River Test Complx
38.9578582,-110.0870438,Green River Test Complx
40.5249399,-98.1852161,Greenlief Training Site
40.6639181,-86.1440602,Grissom AFB
40.6540866,-86.1512682,Grissom Arb
13.4740656,144.8098807,Guam Barrigada Complx
30.4093403,-89.0584383,Gulfport-Biloxi Regional Airport Air National Guard
30.4170255,-89.0687908,Gulfport-Biloxi Regional Airport Air National Guard
30.399388,-89.0741796,Gulfport-Biloxi Regional Airport Air National Guard
30.4018823,-89.0746561,Gulfport-Biloxi Regional Airport Air National Guard
30.4065055,-89.0806884,Gulfport-Biloxi Regional Airport Air National Guard
30.4103152,-89.0613652,Gulfport-Biloxi Regional Airport Air National Guard
62.4080175,-145.1545735,Haarp Research Sta
43.1027368,-76.1033516,Hancock Fld
42.4589481,-71.2771043,Hanscom AFB
36.0985169,-76.3357973,Harvey Point Defense Testing Activity
38.541948,-118.6556028,Hawthorne Army Dep
38.868854,-77.0739177,Headquarters Marine Corps
46.9137615,-96.8045417,Hector Iap
21.5361123,-158.0194801,Helemano Mil Res
46.6084465,-111.9710878,Helena Aviation
21.3309434,-157.9478843,Hickam AFB
21.4378978,-158.0061298,Hickam Petroleum Products Storage Annex
41.1279976,-111.9913132,Hill AFB
32.9168698,-106.1336876,Holloman AFB
36.524961,-82.6457217,Holston Army Ammunition Plnt
32.8326342,-115.1507723,Holtville Carrier Landing Site
